timestamp,time,rrd_in_bps,rrd_out_bps,iperf_server_in_bps,iperf_server_out_bps,cpu_load,mem_avail,swap_out,io_sent
1760545980,2025-10-15 23:33:00,47087.46666666667,11360133.866666667,,10000176.481423633,65.4,796667.2,0.0,538.9333333333333
1760546010,2025-10-15 23:33:30,46286.666666666664,11360278.4,,9999846.22126927,54.3,791363.2,0.0,885.0666666666667
1760546040,2025-10-15 23:34:00,45669.333333333336,11076680.066666666,,9999851.20991033,56.9,819044.0,0.0,500.8
1760546070,2025-10-15 23:34:30,48784.26666666667,11647122.6,,10000179.440659396,55.9,816524.8,0.0,572.0
1760546100,2025-10-15 23:35:00,47510.933333333334,11365193.333333334,,9999848.587296443,56.4,812682.4,0.0,557.6
1760546130,2025-10-15 23:35:30,45914.933333333334,11358881.066666666,,10000173.45804063,60.5,823668.0,0.0,347.46666666666664
1760546160,2025-10-15 23:36:00,46101.42222222222,10983888.88888889,,9999843.997663898,67.6,814596.0,0.0,551.2
1760546190,2025-10-15 23:36:30,52789.51111111111,11740660.97777778,,10000182.166165786,103.4,811236.0,0.0,666.4
1760546220,2025-10-15 23:37:00,47029.42222222222,10989425.51111111,,9999849.599650903,88.8,810098.4,0.0,493.06666666666666
1760546250,2025-10-15 23:37:30,46368.51111111112,11453166.955555554,,10000172.712548824,78.8,814979.2,0.0,550.6666666666666
1760546280,2025-10-15 23:38:00,48113.53333333333,11643624.066666666,,9999858.301352618,67.4,818948.0,0.0,610.4
1760546310,2025-10-15 23:38:30,44869.86666666667,11076588.333333334,,10000171.81637113,66.5,813660.0,0.0,829.0666666666667
1760546340,2025-10-15 23:39:00,46339.64444444444,11264650.955555556,,9999855.998436617,49.3,813785.6,0.0,308.8
1760546370,2025-10-15 23:39:30,48511.55555555555,11741336.444444446,,9999836.038255667,47.0,805675.2,0.0,530.4
1760546400,2025-10-15 23:40:00,45966.666666666664,10992008.355555557,,10000185.750925004,50.4,806675.2,0.0,597.6
1760546430,2025-10-15 23:40:30,47034.13333333333,11453040.511111112,,9999849.246212954,53.9,804725.6,0.0,498.6666666666667
1760546460,2025-10-15 23:41:00,46760.088888888895,11266380.555555556,,10000181.695551392,70.4,796334.4,0.0,523.4666666666667
1760546490,2025-10-15 23:41:30,49942.48888888889,11365218.311111113,,9999845.15613182,111.1,804073.6,0.0,554.9333333333333
1760546520,2025-10-15 23:42:00,51379.19999999999,11364888.88888889,,10000176.84065546,100.8,800064.8,0.0,607.4666666666667
1760546550,2025-10-15 23:42:30,46487.022222222215,11357795.466666669,,9999855.319302369,76.5,789040.0,0.0,412.8
1760546580,2025-10-15 23:43:00,46285.68888888889,11359169.955555556,,10000163.815453272,65.3,809892.0,0.0,436.53333333333336
1760546610,2025-10-15 23:43:30,46025.77777777778,11359172.62222222,,9999857.304635186,57.8,811048.0,0.0,789.8666666666667
1760546640,2025-10-15 23:44:00,46329.777777777774,11359239.377777778,,10000171.757854348,49.3,822980.8,0.0,485.6
1760546670,2025-10-15 23:44:30,44584.62222222222,11733966.22222222,,9999859.202252308,57.2,806446.4,0.0,505.06666666666666
1760546700,2025-10-15 23:45:00,50260.62222222223,10994141.51111111,,10000164.72201287,74.6,805479.2,0.0,549.3333333333334
1760546730,2025-10-15 23:45:30,46255.822222222225,11356564.888888888,,9999854.913696801,63.1,804733.6,0.0,481.3333333333333
1760546760,2025-10-15 23:46:00,46152.533333333326,11358585.688888889,,9999852.033012114,49.5,810947.2,0.0,442.1333333333333
1760546790,2025-10-15 23:46:30,45967.022222222215,11358746.666666668,,10000177.453747096,90.6,805896.0,0.0,455.2
1760546820,2025-10-15 23:47:00,52870.84444444444,11373790.311111113,,9999845.73596443,91.0,807266.4,0.0,506.93333333333334
1760546850,2025-10-15 23:47:30,45992.08888888888,11359834.844444444,,10000181.46134426,68.6,801237.6,0.0,498.1333333333333
1760546880,2025-10-15 23:48:00,46750.666666666664,11358684.62222222,,9999843.198960636,72.9,810136.8,0.0,976.8
1760546910,2025-10-15 23:48:30,45514.48888888889,11357671.11111111,,10000183.557591874,64.1,814715.2,0.0,827.7333333333333
1760546940,2025-10-15 23:49:00,46702.577777777784,11359998.399999999,,9999841.932617866,59.36666666666667,808814.2666666667,0.0,524.8
1760546970,2025-10-15 23:49:30,45766.31111111111,11361539.91111111,,10000183.797505103,59.833333333333336,786640.0,0.0,468.08888888888885
1760547000,2025-10-15 23:50:00,50636.62222222223,11748665.511111112,,9999853.26314902,61.233333333333334,815361.4666666667,0.0,398.0444444444445
1760547030,2025-10-15 23:50:30,46305.6,11361269.333333334,,10000174.13059256,67.2,814365.4666666667,0.0,570.9333333333333
1760547060,2025-10-15 23:51:00,47247.2,11361191.2,,9999843.93648976,78.1,824093.8666666667,0.0,542.9333333333333
1760547090,2025-10-15 23:51:30,57118.933333333334,10069771.733333332,,10000178.244772887,69.83333333333333,816857.2,0.0,649.3333333333334
1760547120,2025-10-15 23:52:00,49606.933333333334,244459.2,,,78.56666666666666,817534.1333333333,0.0,595.6444444444444
